code,Rank2021,EN_country,sc_2021,changeRank,Rank2020,sc_2020
SVN,36,Slovenia,23.1,-4,32,22.64
SWE,3,Sweden,7.24,1,4,9.25
SWZ,141,Swaziland,46.34,0,141,45.15
SYC,52,Seychelles,25.66,11,63,28.66
SYR,173,Syrian Arab Republic,70.63,1,174,72.57
TCD,123,Chad,40.2,0,123,39.7
TGO,74,Togo,29.59,-3,71,29.33
THA,137,Thailand,45.22,3,140,44.94
TJK,162,Tajikistan,55.52,-1,161,55.34
TKM,178,Turkmenistan,80.03,1,179,85.44
TLS,71,East Timor,29.11,7,78,29.9
TON,46,Tonga,24.59,4,50,27.27
TTO,31,Trinidad and Tobago,21.55,5,36,23.22
TUN,73,Tunisia,29.53,-1,72,29.45
TUR,153,Turkey,49.79,1,154,50.02
TWN,43,Taiwan,23.86,0,43,23.76
TZA,124,Tanzania,40.69,0,124,40.25
UGA,125,Uganda,41.19,0,125,40.95
UKR,97,Ukraine,32.96,-1,96,32.52
URY,18,Uruguay,16.38,1,19,15.79
USA,44,United States,23.93,1,45,23.85
UZB,157,Uzbekistan,50.74,-1,156,53.07
VEN,148,Venezuela,47.6,-1,147,45.66
VNM,175,Vietnam,78.46,0,175,74.71
WSM,21,Samoa,19.24,0,21,18.25
XCD,45,OECS,23.98,-1,44,23.78
XKO,78,Kosovo,30.32,-8,70,29.33
YEM,169,Yemen,62.35,-2,167,58.25
ZAF,32,South Africa,21.59,-1,31,22.41
ZMB,115,Zambia,38.21,5,120,37
ZWE,130,Zimbabwe,43.12,-4,126,40.95
